,Sessuvium,Bucholzia,Leptaulus,Afzelia,Piliostigma,Dichrostachys,Lamiaceae,Ochna,Securidaca,Psydrax,Holoptela,Balanites,Fagonia,Heliotropium,Brassicaceae,Convolvulaceae,Indigofera,Lotus,Adenia,Plantago,Spermacoce,Xyris,Sabicea,Cardiospermum,Amaranthaceae,Landolphia,Tabernaemontana,Ilex,Bignoniaceae,Canarium,Tessmannia,Mammea,Allanblackia,Aneulophus,Anthostema,Thecacoris,Martretia,Baphia,Xylia,Caloncoba,Kirkia,Antiaris,Ongokea,Strombosia,Panda,Medusandra,Coffea,Ixora,Teclea,Lecaniodiscus,Ganophyllum,Paullinia,Zanha,Triplochiton,Mangifera,Asteraceae,Bombax,Ceiba,Discoglypremna,Tephrosia,Acacia,Premna,Rumex,Morinda,Dichostemma,Gilbertiodendron,Irvingia,Scaphopetalum,Prunus,Craterispermum,Rinorea,Loranthaceae,Moraceae,Phyllantheae,Sapindaceae,Vitaceae,Aidia,Croton,Dialium,Drypetes,Pterocarpus,Meliaceae,Nesogordonia,Olax,Parinari,Symphonia,Allophylus,Celtis,Pycnanthus,Zanthoxylum,Blighia,Bridelia,Capparis,Sterculia,Detarium,Diospyros,Dracaena,Euphorbia,Erythrococca,Syzygium,Fabaceae,Ficus,Hymenocardia,Vitex,Copaifera,Entada,Manilkara,Mimusops,Pandanus,Pseudospondias,Uapaca,Phoenix,Raphia,Alchornea,Combretaceae,Lophira,Cyperaceae,Nymphaea,Typha,Nauclea,Elaeis,Macaranga,Myianthus,Spathodea,Tetrorchidium,Trema,Anthocleista,Borassus,Hannoa,Lannea,Pouteria,Zizyphus,Gramineae,Celastraceae,Tiliacora,Annonaceae,Malvaceae,Palmae,Rubiaceae,Indet,volume,Lyco_added,Lyco_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,7,1,1,0,0,0,2,2,0,1,3,0,0,13,0,0,6,0,0,0,4,0,0,2,0,0,0,0,1,0,1,7,19,7,7,4,0,2,0,5,3,63,14,0,0,1,1,0,2,0,0,0,4,0,2,0,0,1,2,9,2,24200,14
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,1,0,1,2,0,0,12,3,1,9,0,0,3,1,1,1,0,2,6,0,0,0,1,3,3,13,2,8,2,0,14,1,15,0,46,24,0,0,0,0,1,1,0,1,1,9,0,0,0,0,6,2,13,2,24200,8
10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,2,1,8,2,0,4,0,0,11,0,1,4,0,0,2,1,0,1,1,1,4,0,1,0,0,1,11,32,6,2,3,1,2,1,11,4,53,7,0,0,0,1,2,0,1,0,0,3,0,0,1,0,4,3,11,2,24200,11
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,12,0,0,1,0,0,2,3,0,0,2,0,0,14,0,0,21,0,0,0,2,0,2,0,0,1,0,0,0,0,0,4,5,4,2,2,0,9,2,6,2,52,21,0,1,1,0,2,0,0,1,2,5,0,0,0,0,8,2,9,2,24200,2
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,2,0,2,0,4,0,2,0,10,0,0,1,0,0,4,5,0,2,6,5,1,0,0,0,0,0,9,15,7,2,3,3,11,1,1,0,54,1,0,0,1,1,2,0,4,2,0,7,0,1,0,0,2,0,12,2,25084,21
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,1,0,1,0,1,0,4,1,1,4,0,0,6,0,1,10,0,0,1,2,1,0,6,1,1,0,3,0,0,0,0,5,11,2,4,1,9,0,7,3,72,4,0,1,1,0,3,2,0,1,0,1,0,0,0,2,4,1,17,2,24200,1
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,12,0,0,1,4,0,0,1,2,2,5,1,0,5,1,2,0,0,0,2,4,0,0,2,1,0,0,0,0,0,0,0,7,12,1,2,0,2,1,9,2,95,7,0,2,0,2,0,0,2,0,5,4,0,0,2,0,1,0,16,2,25084,4
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,1,0,1,2,4,1,1,0,2,0,0,5,0,0,0,2,0,1,3,0,0,0,0,0,1,0,1,4,19,1,6,1,6,0,9,0,99,7,0,0,0,0,2,0,1,0,2,8,0,0,0,0,3,0,16,2,24200,4
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4,0,0,7,1,3,6,0,0,7,1,2,0,0,0,1,3,0,0,1,2,0,0,0,0,0,1,0,5,15,0,1,0,7,0,7,0,88,5,0,1,0,0,0,0,1,0,6,4,0,0,2,0,0,0,12,2,25084,12
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,0,2,0,0,1,0,2,0,1,0,0,0,6,1,1,5,0,0,1,1,0,0,1,0,2,0,4,0,2,1,1,16,21,2,6,1,10,0,6,1,77,7,0,0,1,0,0,0,0,0,1,5,0,0,2,1,5,1,9,2,24200,17
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,2,0,0,0,1,0,5,1,1,2,1,0,5,0,0,0,0,0,0,2,0,1,2,1,1,0,1,1,0,2,6,6,18,1,4,0,2,0,6,0,86,13,0,0,3,1,0,3,1,0,3,12,0,1,1,0,1,1,11,2,25084,25
55,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,1,4,0,0,1,0,2,0,0,0,5,0,0,0,3,0,0,4,0,0,1,2,0,0,1,1,5,0,3,2,0,1,4,10,21,3,6,3,5,0,10,1,69,10,0,0,0,1,2,0,1,0,2,1,0,0,0,0,0,1,3,2,24200,12
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,6,1,1,2,0,0,1,3,0,2,0,0,0,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,8,5,1,3,1,4,0,9,1,96,16,0,1,0,1,0,2,1,1,3,13,0,0,3,3,1,0,12,2,25084,31
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,1,2,2,0,2,5,1,1,1,0,0,2,0,0,0,1,2,3,0,0,0,1,2,5,6,13,2,6,0,5,0,6,0,69,23,0,0,2,0,1,1,1,0,0,13,0,0,0,0,4,1,7,2,24200,29
70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,6,2,3,0,1,0,7,0,1,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,2,2,8,2,7,0,3,1,9,1,74,19,0,0,2,2,2,0,0,1,9,7,0,0,1,4,0,2,9,2,25084,17
75,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,3,2,8,0,0,0,0,0,4,2,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,2,5,10,11,2,8,1,8,0,5,2,80,17,0,1,0,0,1,2,3,0,1,8,0,0,2,0,2,1,6,2,24200,16
80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,0,0,1,0,0,1,5,2,4,3,0,0,7,1,0,0,0,0,1,3,0,0,2,1,1,0,0,0,0,1,2,14,11,0,8,3,1,0,8,1,79,19,0,2,3,1,0,1,1,0,1,11,0,0,0,0,2,1,13,2,25084,35
85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,5,0,0,1,0,5,0,7,1,0,0,0,0,8,1,3,1,0,0,0,0,0,0,1,0,2,0,1,0,0,4,2,8,16,4,5,1,13,0,3,1,63,14,0,0,1,2,0,3,0,0,0,14,0,0,1,1,1,1,9,2,24200,49
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,5,2,3,5,2,0,9,0,0,0,0,0,2,2,0,1,1,0,0,0,2,0,1,2,3,14,11,2,3,0,3,0,9,0,69,27,0,0,2,1,0,0,2,1,1,10,0,2,0,0,1,0,10,2,25084,37
95,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,0,2,1,9,3,1,2,0,0,6,0,0,1,1,1,4,0,2,1,1,4,7,0,0,0,0,2,2,9,5,1,4,1,16,0,15,3,46,16,0,0,0,0,0,2,1,0,2,12,1,0,0,1,3,0,12,2,24200,19
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,0,1,1,6,2,1,1,1,0,6,0,0,0,1,0,0,6,0,2,0,0,3,0,0,0,3,2,2,16,6,0,4,0,1,0,11,2,58,24,0,0,3,3,2,3,4,1,5,2,0,0,2,0,1,0,9,2,25084,44
105,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,5,0,1,0,0,4,0,6,6,0,1,0,0,5,0,1,0,0,1,0,0,0,0,2,6,1,0,0,1,0,5,2,9,16,5,6,1,2,0,7,3,47,22,0,2,2,1,0,0,2,0,0,16,0,0,0,0,0,1,12,2,24200,29
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,9,1,2,6,2,0,6,1,2,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,4,14,6,3,2,0,1,1,3,2,67,25,0,1,1,2,1,0,1,0,3,11,0,0,1,2,1,2,8,2,25084,27
115,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,2,0,2,3,0,0,1,0,0,0,7,1,1,4,2,0,6,0,1,1,2,2,1,1,1,1,0,0,1,0,0,0,0,1,2,13,14,4,2,0,6,0,7,2,61,12,0,0,0,0,1,2,2,0,3,10,1,0,0,0,3,1,10,2,24200,13
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,1,0,1,0,0,0,7,6,0,4,3,0,3,2,0,0,0,0,0,5,1,4,2,2,0,0,0,1,1,2,4,11,7,1,5,1,3,0,7,1,50,26,0,2,2,1,2,1,1,1,4,9,0,1,0,1,2,0,13,2,25084,28
125,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,10,3,1,10,2,0,1,0,0,0,0,0,1,1,1,2,2,3,0,0,1,1,1,3,4,5,9,3,2,0,0,1,5,3,50,17,1,1,4,2,3,1,0,0,0,17,1,2,2,0,3,0,11,2,24200,22
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,8,0,0,0,0,0,1,5,1,0,1,0,0,3,3,1,0,2,0,0,1,2,0,0,3,1,0,0,0,6,1,2,14,7,1,8,0,0,0,6,1,48,30,0,1,4,3,0,2,2,2,7,7,0,3,1,0,4,0,23,2,25084,22
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,5,1,2,1,0,0,0,3,2,2,2,2,0,6,1,1,4,0,0,1,0,2,1,1,2,4,0,0,0,1,3,2,13,7,9,2,0,4,0,11,2,40,25,0,0,4,5,2,0,2,3,3,16,0,0,1,0,3,0,8,2,24200,13
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,5,1,0,0,0,0,0,2,1,4,3,0,0,7,1,1,0,1,0,2,1,1,2,2,2,3,0,0,0,0,1,2,14,11,5,4,0,0,0,14,0,45,28,0,0,0,0,1,1,5,0,2,14,0,0,1,0,1,1,17,2,25084,50
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,1,4,3,2,6,1,0,6,1,0,0,0,0,1,0,0,0,1,4,4,0,2,0,0,1,4,7,10,5,3,2,3,0,19,0,48,17,0,1,2,0,0,2,0,2,1,14,0,0,0,0,3,2,9,2,24200,12
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,10,1,0,1,0,0,1,4,3,2,3,2,0,3,1,2,2,0,0,0,3,0,1,1,2,2,0,0,0,2,1,1,11,5,4,2,2,2,0,7,2,58,33,0,0,7,0,3,2,1,1,0,2,1,1,2,1,0,2,13,2,25084,32
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,1,0,1,1,4,2,0,1,2,0,0,0,0,1,1,0,1,1,0,1,0,0,3,0,1,0,1,3,1,9,9,1,4,2,3,0,4,1,99,15,0,2,3,1,1,2,0,2,4,9,0,0,0,0,1,3,6,2,24200,17
160,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,10,1,0,1,0,0,2,4,6,1,7,3,0,5,0,0,1,0,0,5,0,1,1,4,2,2,0,1,0,0,0,2,15,11,1,6,0,3,0,3,1,32,31,0,2,1,1,1,1,3,0,5,9,0,0,6,0,1,2,4,2,25084,22
165,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,6,2,1,3,2,0,1,1,1,1,0,3,1,0,0,0,3,2,0,0,2,1,1,3,2,6,9,3,5,0,0,1,13,3,85,10,0,0,5,3,0,2,0,2,0,15,0,0,0,1,0,0,12,2,24200,15
170,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,7,1,0,2,0,0,0,4,2,1,6,0,0,5,2,2,0,0,0,3,1,1,0,0,0,2,0,3,0,0,3,7,13,6,4,5,0,1,0,6,0,41,41,0,0,2,0,1,1,2,2,4,8,0,0,0,1,1,1,14,2,25084,26
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,1,0,0,0,7,5,0,1,0,0,5,0,1,4,0,0,1,1,0,0,0,0,2,0,1,0,4,1,4,10,15,5,5,3,7,0,10,0,50,23,0,1,4,1,0,3,0,1,4,9,0,0,1,0,2,2,12,2,24200,12
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,1,1,0,0,1,6,0,4,2,2,0,5,0,0,1,0,0,0,4,1,0,1,4,0,0,1,0,1,0,3,8,4,3,7,0,0,0,5,2,52,52,0,0,5,0,1,1,1,0,7,4,4,0,4,0,1,0,18,2,25084,10
185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,2,5,0,1,0,0,0,0,7,4,3,4,1,0,7,0,1,1,2,0,2,0,0,0,2,2,0,0,0,0,2,2,2,15,15,3,5,1,3,0,8,0,42,19,0,2,0,2,0,1,1,0,1,11,0,0,0,0,2,3,5,2,24200,21
190,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,3,0,4,1,0,0,0,1,1,8,1,2,0,0,0,3,1,2,1,0,0,1,2,0,0,2,4,3,0,0,0,0,1,2,11,9,1,5,0,4,0,4,1,60,29,0,0,0,0,1,1,1,1,13,7,0,1,2,0,1,2,13,2,25084,19
195,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,1,0,11,0,3,5,0,0,3,1,0,0,0,0,1,1,0,1,3,1,1,4,1,1,1,1,8,8,4,5,10,1,0,0,9,1,41,46,0,1,2,0,2,0,3,1,0,8,2,0,0,0,4,1,12,2,24200,17
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,11,1,0,1,0,1,1,4,3,2,4,2,0,5,0,1,0,0,3,1,0,0,0,1,1,2,0,0,1,0,1,4,19,7,2,6,0,1,0,5,2,47,27,0,0,3,0,0,0,5,0,7,10,0,1,3,2,2,2,6,2,25084,31
220,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,1,0,0,1,6,3,1,2,2,0,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,3,4,3,6,9,2,2,1,0,0,16,2,75,13,3,0,6,1,1,2,1,1,0,10,1,0,0,0,1,3,9,2,24200,14
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,10,1,0,0,0,1,0,2,1,0,2,0,0,2,0,1,0,0,8,1,0,0,0,2,3,1,0,0,0,2,2,1,16,9,5,7,0,3,1,7,0,67,26,0,0,1,0,0,2,3,0,4,3,0,0,1,0,1,2,15,2,25084,30
240,3,0,0,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,1,4,11,2,0,2,0,5,1,0,0,2,0,1,1,6,7,2,0,1,1,0,2,1,5,12,11,13,6,0,2,14,6,144,23,0,3,10,0,8,7,6,0,0,21,2,0,1,0,3,0,17,1,24200,46
250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,4,0,12,0,0,0,0,0,1,5,1,3,2,0,0,4,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,19,3,1,5,1,0,1,5,1,57,34,0,1,6,0,1,4,3,0,8,6,0,0,0,0,0,3,19,2,25084,14