,Alchorne,Anacardi,Artemisi,Composit,Baphia.t,Blighia.,Bridelia,Cadaba,Caesalpi,Canthium,Capparis,Caryophy,Cassia.t,Celastra,Celtis..,Amaranth,Clausena,Cleome,Cnestis.,Combreta,Crudia.t,Cussonia,Cyperace,Diospyro,Dodonaea,Ephedra,Ericacea,Eugenia.,Euphorbi,Papilion,Harpulia,Heliotro,Hymenoca,Indeterm,Lannea,Lophira,Macarang,Maerua.t,Manilkar,Martreti,Meliacea,Myrica..,Nauclea.,Ochna,Oleaceae,Phyllant,Poaceae,Podocarp,Polycarp,Protea,Pterocar,Pycnanth,Rhamnace,Rhizopho,Rhus,Rhynchos,Rosaceae,Rubiacea,Rutaceae,Salvador,Sapindac,Securine,Sterculi,Tephrosi,Tetrorch,Thymelae,Tiliacea,Typha.an,Uapaca,Monolete,Monolete.1,Pteris,Trilete.,Trilete..1,Fern.spo,Chron1
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,4,3,43,6500
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,28,9800
40,4,0,1,0,0,0,1,0,1,0,0,0,0,0,4,1,1,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,8,39,0,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,11,0,1,2,7,21,12633.33301
50,1,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,3,0,0,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,27,189,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,20,2,57,15466.66699
60,2,0,2,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,9,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,7,13,0,8,2,30,18300
70,2,0,0,4,1,1,0,0,0,0,0,0,5,0,1,1,1,0,0,5,0,1,21,0,0,0,0,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,2,1,2,1,12,82,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,26,12,0,6,3,47,20585.71484
80,4,0,9,4,0,0,0,0,0,0,0,1,2,0,2,0,1,0,1,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,68,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,37,24,3,17,2,83,22871.42773
90,4,0,2,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,9,68,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,22,0,1,13,59,25157.14258
98,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,3,7,0,0,8,0,0,0,0,0,1,0,0,1,1,0,2,0,1,1,0,0,3,1,0,0,3,0,22,79,0,0,0,0,2,3,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,43,37,0,12,16,108,26985.71484
110,1,0,4,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,2,5,0,0,8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,60,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,14,31,0,3,15,63,29839.34375
120,5,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,27,52,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,14,1,4,8,46,33232.78516
129,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,40,31,1,21,19,112,36286.88672
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,19,1,5,12,47,40019.67188
150,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,5,1,0,8,0,0,2,0,0,3,0,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,11,92,0,1,0,0,0,6,2,0,0,1,0,1,0,0,0,0,3,0,0,0,0,39,29,0,11,3,82,43413.11328
160,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,13,0,1,0,28,46806.55859
170,5,0,1,1,0,0,0,0,1,0,0,0,4,0,4,0,0,0,0,4,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,58,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,18,30,1,6,4,59,50200
180,2,1,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,1,0,4,0,0,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,21,43,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,17,32,0,5,13,67,53733.33203
190,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,12,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32,41,1,27,49,150,57663.63672
200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,3,1,42,1,79,61990.91016
210,2,0,1,1,0,0,0,0,1,0,0,1,4,0,3,0,0,0,0,1,2,0,15,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,9,77,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,30,14,0,17,4,65,66318.17969
220,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,18,55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,28,1,31,28,128,70645.45313
230,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,13,84,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10,0,5,7,40,74972.72656
240,2,0,0,3,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,56,0,0,0,0,1,8,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,9,27,0,3,6,45,79300
250,2,0,0,2,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,10,74,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,26,20,0,18,9,73,83538.09375
260,1,0,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,71,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,17,2,3,7,45,87776.1875
270,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,3,2,20,92014.28906
280,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,2,10,24,96252.38281
290,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,10,74,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,16,0,1,0,18,100490.4766
300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,25,55,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,27,17,2,8,8,62,104728.5703
310,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,92,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11,22,0,10,1,44,108966.6641
320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,135,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1,1,3,27,113204.7656
330,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,7,118,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,12,0,2,0,15,117442.8594
340,1,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,82,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,14,0,2,7,41,121680.9531
350,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,4,8,125683.3359
360,0,0,2,0,0,0,0,2,0,0,0,0,3,0,1,1,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,12,87,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,13,0,4,5,32,129450
370,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,0,6,0,44,133216.6719
378,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,146,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4,0,7,4,26,136230