"","Alchorne","Syzygium","Fagara","Graminea","Bridelia","Pteridop","Indeterm","Polygonu","Cyperace","Amaranth","Composit","Dodonaea","Macarang","Phyllant","Ficus","Nymphaea","Podocarp","Canthium","Allophyl","Typha","Acalypha","Euphorbi","Hypericu","Hymenoca","Myrica","Jasminum","Solanum","Grewia","Pygeum","Umbellif","Urticace","Tribulus","Celtis","Combreta","Ericacea","Impatien","Lorantha","Scheffle","Albizzia","Harungan","Justicia","Rhus","Ilex","Polyscia","Croton","Symphoni","Apodytes","Aloe","Bersama","Olea","Kotschya","Vigna","Polygala","Protea","Hagenia","Prunus","Galinier","Trema","Capparis","Sapium","Pterocar","Ziziphus","Maytenus","Dombeya","Haloraga","Chrysoph","Cissus","Indigofe","Psychotr","Triumfet","Cassipou","Tricalys","Ocimum","Kalancho","Cadaba","Maesa","Carapa.E","Entandro","Strombos","Neobouto","Abutilon","Sideroxy","Lawsonia","Ludwigia","Agrochar","Chron1","Chron10"
"10",0,27,0,97,0,27,7,0,71,1,2,0,5,0,0,4,2,0,1,3,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.3333320617676,59.3611106872559
"20",0,118,0,96,0,15,4,0,114,1,5,0,3,0,0,5,2,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,126.666664123535,118.722221374512
"30",0,77,0,101,0,17,8,0,85,0,6,0,4,0,0,3,4,1,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,190,178.08332824707
"40",0,117,0,79,0,29,3,0,126,0,7,0,4,0,0,2,5,0,0,5,0,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253.33332824707,237.444442749023
"50",0,105,0,122,0,5,8,0,99,0,4,0,4,0,1,3,1,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,316.666656494141,296.805541992188
"60",0,56,0,123,0,41,7,0,166,1,12,0,3,0,0,6,9,0,0,2,0,0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380,356.166656494141
"70",0,73,0,117,0,34,5,0,200,0,9,0,1,0,0,3,4,0,1,3,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443.333343505859,415.527770996094
"80",0,122,0,89,0,101,4,0,159,1,6,0,2,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,506.666656494141,474.888885498047
"90",0,86,0,109,0,84,1,0,141,2,2,0,2,0,0,1,4,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,570,534.25
"100",0,113,0,87,0,44,7,1,110,0,5,0,1,0,0,2,4,2,0,0,1,0,3,0,1,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,633.333312988281,593.611083984375
"110",0,122,0,53,0,77,5,1,216,1,4,0,2,0,2,1,3,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,696.666687011719,652.972229003906
"120",0,103,0,62,0,59,7,0,305,0,4,0,2,0,4,1,4,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,760,712.333312988281
"130",0,100,0,92,0,54,2,0,223,0,6,0,4,0,0,2,5,0,1,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,823.333312988281,771.694458007812
"140",0,34,0,124,0,98,10,0,222,0,8,0,6,0,0,0,11,0,1,0,0,0,1,0,3,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,886.666687011719,831.055541992188
"150",0,44,0,120,0,128,3,0,180,1,5,0,5,0,0,0,9,0,1,1,0,0,1,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,950,890.416687011719
"160",0,52,0,100,0,61,5,0,174,0,4,0,5,0,0,0,10,1,0,1,0,0,2,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1013.33331298828,949.777770996094
"170",0,23,0,142,0,188,7,0,221,0,6,0,3,0,1,2,7,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1076.66662597656,1009.13891601562
"180",0,15,0,157,0,396,3,0,158,0,12,0,5,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1140,1068.5
"190",0,39,0,141,0,271,8,2,92,1,7,0,1,0,0,2,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1632.72729492188,1635.5
"200",0,12,0,132,0,262,12,1,70,2,19,0,5,0,0,1,12,0,0,9,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2125.45458984375,2202.5
"210",0,13,0,140,0,84,4,0,71,0,21,0,1,0,0,0,6,0,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,2,2,0,0,0,0,0,5,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2618.18188476562,2769.5
"220",0,6,0,158,0,163,8,0,132,1,13,0,5,0,0,0,8,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3110.9091796875,3336.5
"230",0,0,7,190,0,66,11,11,38,5,75,0,1,0,0,8,33,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,0,0,0,0,22,1,0,3,0,0,0,0,0,3603.63647460938,3903.5
"240",0,3,0,76,0,57,3,1,92,3,13,0,2,0,0,2,15,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4096.36376953125,4470.5
"250",0,2,0,67,0,43,2,0,41,1,17,0,2,0,0,4,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4589.0908203125,5037.5
"260",0,2,0,92,0,60,0,0,76,1,4,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5081.818359375,5604.5
"270",0,2,0,79,0,77,2,0,39,1,5,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5574.54541015625,6171.5
"280",0,5,2,132,0,136,6,3,35,1,22,0,2,0,0,6,12,0,0,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,6067.27294921875,6738.5
"290",0,3,1,148,0,94,8,1,34,3,34,0,3,0,0,7,19,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,4,0,1,1,3,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6560,7305.5
"300",0,21,0,162,0,76,6,0,79,2,12,0,7,0,0,0,6,0,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,7052.72705078125,7872.5
"310",1,3,9,140,0,160,7,2,17,12,31,0,16,0,0,6,13,10,0,3,0,0,4,0,1,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,9,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,7545.45458984375,8439.5
"320",0,21,0,179,0,43,5,0,91,2,8,0,13,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,8038.181640625,9006.5
"330",1,23,0,131,0,109,8,0,115,3,14,0,9,0,2,0,12,0,0,1,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,28,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,8530.9091796875,9573.5
"340",0,19,8,124,0,30,6,0,138,1,11,0,4,0,0,0,5,0,0,2,0,1,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,40,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,9023.63671875,10140.5
"350",0,28,4,124,0,22,3,0,235,2,12,0,2,0,0,6,10,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,9365.9091796875,10552.2724609375
"360",0,31,2,102,0,25,9,0,183,1,22,0,5,0,0,3,12,0,0,1,0,3,0,1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,36,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,9557.7275390625,10808.818359375
"370",0,41,4,91,0,41,5,0,239,0,12,0,5,0,1,2,17,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,43,0,0,0,2,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,9749.5458984375,11065.36328125
"380",0,53,7,128,0,53,10,0,110,2,16,0,6,0,0,4,21,1,0,1,0,5,1,0,0,0,3,0,0,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,42,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,3,0,8,0,0,0,4,1,0,0,0,0,9941.36328125,11321.9091796875
"390",0,45,5,122,0,52,3,0,58,0,7,0,4,0,0,6,20,1,1,1,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,10133.181640625,11578.4541015625
"400",0,48,2,122,0,26,5,0,182,2,9,0,14,0,0,5,32,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,2,0,2,0,0,0,3,1,0,0,0,0,10325,11835
"410",0,11,10,76,0,46,7,0,136,2,17,0,9,0,1,2,18,1,0,3,0,1,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,49,0,0,1,1,0,0,4,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,10516.818359375,12091.5458984375
"420",0,72,9,98,0,43,4,0,113,5,8,0,9,0,2,6,28,0,0,4,0,0,1,0,0,1,1,0,0,2,1,0,6,2,1,0,0,1,1,0,0,0,4,0,0,0,0,2,0,73,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,1,0,0,1,0,4,1,0,0,5,1,0,0,0,1,10708.63671875,12348.0908203125
