"","Diospyro","Alchorne","Uapaca","Symphoni","Amaranth","Vitex","Graminea","Elaeis.g","Indeterm","Rhizopho","Cyperace","Composit","Macarang","Rubiacea","Monolete","Triletes","Ilex.mit","Ricinus.","Pycnanth","Cocos.nu","Holoptel","Celtis","Phoenix.","Ceiba.pe","Capparis","Maytenus","Commelin","Antidesm","Bridelia","Ximenia.","Pandanus","Vitex.do","Combreta","Calamus.","Crudia","Martreti","Mitragyn","Mitragyn.1","Nauclea.","Uapaca.h","Uapaca.p","Bosqueia","Irvingia","Myrianth","Podococc","Bridelia.1","Podocarp","Uncaria.","Borreria","Morelia.","Raphia.v","Lonchoca","Syzygium","Cleome.c","Corchoru","Chloroph","Chron1","Chron10"
"0",0,1200,240,0,120,240,600,1440,1920,32760,360,0,0,0,1560,1200,0,0,120,0,0,0,33,0,0,0,0,600,120,0,0,0,240,120,120,120,240,240,0,0,0,0,120,0,0,0,0,120,0,0,0,240,240,0,0,0,462.5,548.75
"50",47,106,100,0,0,0,100,60,247,4003,13,0,0,20,7,47,0,7,27,7,7,27,0,0,20,0,0,0,0,86,7,0,13,0,0,20,53,60,0,33,0,0,7,0,20,0,7,126,0,42,27,27,0,7,0,7,505,563
"190",0,56,103,0,0,9,169,60,231,4188,14,0,9,9,155,71,0,33,9,5,0,0,9,5,33,19,9,66,14,33,0,0,14,0,0,0,47,56,0,28,0,9,5,9,14,0,9,125,5,0,14,24,24,14,0,0,624,602.900024414062
"250",40,300,0,0,20,0,520,100,940,13080,160,0,380,100,1080,240,20,20,100,0,40,60,160,0,40,80,40,80,40,360,20,0,40,20,0,80,220,100,0,60,300,0,40,20,60,40,0,200,0,0,100,60,80,40,0,0,675,620
"450",223,250,0,0,0,0,483,260,1305,15667,74,0,559,0,780,186,74,0,0,0,0,114,49,0,149,149,74,37,0,334,37,0,114,0,0,297,0,186,0,408,0,0,114,37,0,0,0,743,0,0,37,0,37,114,0,0,1939.70593261719,2036.3603515625
"590",11,21,21,11,0,0,117,74,212,2648,32,11,297,21,191,85,0,0,11,0,0,11,21,0,32,0,0,0,0,42,11,0,21,11,0,0,32,42,11,106,0,11,0,0,11,0,11,85,11,0,21,0,0,0,0,0,2825,3027.8125
"660",99,74,25,0,0,25,223,0,594,14671,25,0,173,0,49,74,0,0,25,0,0,99,0,25,0,0,0,25,0,25,0,0,49,0,0,25,25,25,0,99,0,25,0,0,0,49,0,0,0,0,0,74,0,0,0,0,3267.64697265625,3523.53857421875
"800",0,68,0,23,0,0,637,0,341,9007,136,0,682,0,91,227,0,0,0,0,0,45,14,0,159,45,23,0,0,0,0,45,45,23,23,0,45,0,23,68,136,45,0,45,0,0,0,0,23,0,45,23,0,0,23,45,4152.94140625,4514.99072265625
"980",0,14,0,0,0,0,138,0,345,6532,14,0,14,0,0,70,0,0,0,0,0,28,0,0,0,0,0,55,28,0,0,0,0,0,9,0,14,0,0,70,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,14,5291.17626953125,5789.71484375
"1026",0,75,0,0,0,0,149,0,670,12280,0,0,744,0,0,0,0,298,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,5582.05859375,6115.47802734375
"1230",0,0,0,0,0,0,106,0,71,1083,36,0,124,0,0,0,0,36,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18,18,0,0,0,6872.05859375,7560.16552734375
"1300",0,100,0,100,0,0,1200,0,3000,13400,200,0,600,0,300,700,0,200,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,100,500,0,0,0,0,200,0,0,0,200,0,0,500,100,0,0,0,7314.7060546875,8055.8916015625
"1370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1827",0,120,0,0,30,0,451,0,741,3396,180,0,90,0,0,0,0,0,0,0,0,30,60,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,180,0,0,0,90,0,0
"2035",0,5,0,0,6,0,108,0,229,853,83,3,108,13,16,37,5,8,0,0,5,5,0,0,3,0,0,111,0,5,0,13,8,8,0,3,0,5,0,0,13,0,0,0,3,0,0,0,3,3,3,26,8,8,0,3,0,0
"2320",0,0,0,0,2,0,2,6,50,878,0,0,43,0,4,10,0,0,2,0,0,0,0,0,0,8,0,8,0,0,0,6,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,32,2,0,0,4,0,0
"2812",0,286,0,286,0,0,4575,0,7719,36881,572,0,5718,0,858,0,0,0,101,0,0,286,0,0,0,0,0,572,0,286,0,286,1430,0,0,0,572,286,286,1430,2287,0,0,0,286,0,0,0,0,0,286,2287,0,0,0,1430,0,0
"2957",0,0,0,0,0,0,1010,0,1515,5252,0,0,1717,0,303,101,0,101,0,0,0,303,0,0,0,303,0,0,0,0,0,0,101,0,0,0,0,101,0,0,909,0,0,101,0,0,0,0,0,0,0,202,101,0,0,101,0,0
"3026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3240",0,8,0,0,10,0,94,0,52,36,26,8,3,3,21,8,0,0,5,0,3,3,0,0,0,0,0,0,0,3,3,0,13,5,0,5,13,3,3,55,10,0,0,26,0,0,0,0,0,0,13,8,3,0,0,3,0,0
"3444",0,15,0,0,3,15,97,0,129,40,20,0,12,9,77,9,0,0,3,0,0,3,0,0,0,0,0,0,6,3,3,15,17,0,0,17,0,15,6,17,3,3,0,0,3,23,0,3,0,12,0,17,3,0,0,12,0,0
"3546",0,24,0,0,9,6,231,6,0,78,18,9,42,0,63,15,0,0,3,0,15,0,0,0,0,0,0,0,42,6,0,0,69,0,0,0,0,0,0,0,0,0,0,3,0,0,0,24,3,0,3,24,3,0,0,24,0,0
"3599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
