"","Dacryode","Diospyro","Alchorne","Antidesm","Pentacle","Pentacle.1","Pycnanth","Syzygium","Amaranth","Ligulifl","Sapotace","Graminea","Elaeis.g","Tubulifl","Tapinant","Acridoca","Celastra","Indeterm","Indeterm.1","Croton.t","Tetrorch","Cyperace","Acanthac","Monocoty","Anthocle","Moraceae","Ficus","Campylos","Tiliacea","Rubiacea","Allophyl","Typha","Monolete","Triletes","Caesalpi","Adansoni","Vernonie","Evolvulu","Acalypha","Euphorbi","Margarit","Phyllant","Plagiost","Psorospe","Hymenoca","Iodes","Raphiost","Legumino","Hugonia.","Flabella","Abutilon","Entandro","Entada.t","Tetraple","Trilepis","Nymphaea","Polygonu","Polygonu.1","Parinari","Aidia.ty","Canthium","Canthium.1","Hymenodi","Pausinys","Teclea.t","Paullini","Holoptel","Trema.ty","Verbenac","Cissus.t","Anthocer","Sphagnum","Lygodium","Hypoeste","Achyrant","Heliotro","Crudia.t","Cleistan","Papilion","Albizzia","Gardenia","Umbellif","Urticace","Anacardi","Celtis","Combreta","Euphorbi.1","Gentiana","Impatien","Labiatae","Lannea.t","Phoenix.","Rhamnace","Sapindac","Rauvolfi","Ranalism","Hymenost","Clematis","Alternan","Mangifer","Polyscia","Ceiba.pe","Phyllant.1","Mimosoid","Mimosa.p","Cussonia","Piliosti","Martreti","Uapaca.h","Macarang","Podocarp","Sherbour","Strombos","Ludwigia","Tarenna.","Monolete.1","Trilete.","Celosia.","Zanthoxy","Amaranth.1","Antrocar","Alstonia","Scheffle","Ehretia.","Gilberti","Julberna","Scorodop","Commelin","Commelin.1","Coccina.","Bridelia","Lingelsh","Uapaca.g","Calpocal","Myrianth","Borassus","Raphia.t","Pterocar","Crossopt","Fadogia.","Gardenia.1","Hallea.t","Zanthoxy.1","Ganophyl","Irvingia","Chron1","Chron10","Chron20"
"0",0,0,32,0,0,0,0,0,0,0,0,174,19,3,0,0,0,18,19,0,0,12,0,0,1,50,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,15,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,9,0,0,0,0,0,0,0,477.966094970703,450.902557373047,467.63134765625
"2",0,0,55,0,0,0,0,0,0,0,0,139,12,1,0,1,0,30,22,4,0,18,0,0,1,53,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,1,497.627105712891,469.427978515625,485.444915771484
"4.2",0,0,63,0,0,0,0,0,0,0,1,151,8,4,0,0,0,28,20,1,3,23,0,0,0,33,0,0,0,0,0,1,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,15,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,1,519.254211425781,489.805938720703,505.039825439453
"6.4",0,0,60,0,0,0,0,1,0,0,0,129,10,0,0,0,0,21,15,2,0,28,0,0,0,61,0,0,0,1,0,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,540.88134765625,510.183898925781,524.634765625
"8.6",0,0,70,0,0,0,1,0,0,0,0,147,4,7,0,0,0,27,11,1,2,17,0,0,0,35,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,562.508483886719,530.561889648438,544.229675292969
"11",0,1,52,1,0,0,0,0,0,2,0,156,6,1,1,0,0,31,15,0,0,34,0,0,0,47,0,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,586.101684570312,552.792358398438,565.60595703125
"13.2",0,0,38,0,0,0,0,0,0,0,0,133,6,8,0,0,0,18,13,0,0,78,0,0,0,21,1,0,0,0,0,2,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,0,607.728820800781,573.170349121094,585.200866699219
"15.4",0,0,18,0,0,0,0,0,0,0,0,137,5,4,1,0,0,14,11,0,1,137,0,0,0,26,0,0,2,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,629.35595703125,593.548278808594,604.795776367188
"17.6",0,0,26,0,0,0,0,0,0,0,0,120,2,3,0,0,0,27,0,0,1,166,0,0,0,15,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,650.983032226562,613.92626953125,624.390686035156
"19.8",0,0,21,0,0,0,0,0,0,0,0,123,5,4,0,0,0,27,7,0,0,92,0,0,0,31,0,0,0,2,0,10,9,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,672.610168457031,634.304260253906,643.985595703125
"22",0,0,26,0,0,0,0,0,0,0,0,187,1,3,1,0,0,27,8,0,0,82,0,1,0,12,0,0,0,2,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,694.2373046875,654.682189941406,663.580505371094
"24.3",0,0,30,0,0,0,0,0,0,1,1,199,1,2,0,0,0,27,15,0,1,65,0,0,1,21,1,0,0,1,0,11,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,716.847473144531,675.986450195312,684.066101074219
"26.5",0,0,30,0,0,0,0,0,0,0,0,174,3,1,0,0,0,21,25,0,0,90,0,0,0,18,0,0,0,0,0,8,12,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,738.474548339844,696.364379882812,703.661010742188
"28.8",0,0,36,2,0,0,0,0,0,0,0,222,0,1,0,0,0,30,16,0,0,47,0,0,0,19,0,0,1,1,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.084716796875,717.668640136719,724.146606445312
"33.2",0,0,53,0,0,0,0,0,0,0,0,242,2,2,0,0,0,15,11,0,2,38,0,0,0,17,0,0,0,2,0,2,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,804.338989257812,758.424560546875,763.33642578125
"38",0,0,26,2,0,0,0,0,0,0,0,179,1,0,0,0,0,21,9,0,0,50,0,0,1,15,1,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,851.525451660156,802.885620117188,806.088989257812
"42.5",0,0,25,0,0,0,0,0,0,0,0,229,2,1,0,0,0,20,11,1,1,83,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895.7626953125,844.567810058594,846.169494628906
"49.5",0,0,60,0,0,0,0,0,0,0,0,161,2,3,0,1,0,11,9,1,0,62,0,0,0,28,1,0,0,0,0,0,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,9,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,964.576293945312,909.406799316406,908.516967773438
"56.5",0,0,36,0,0,0,0,1,0,0,1,179,0,1,1,0,0,23,8,2,0,60,0,0,0,26,0,0,0,0,0,2,18,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1033.38977050781,974.245788574219,970.864379882812
"61",0,0,10,1,0,0,0,1,0,0,0,157,0,0,0,0,0,8,12,0,1,70,0,0,0,19,0,0,0,0,0,3,27,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,1,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1077.62707519531,1015.92797851562,1010.94488525391
"65.5",0,0,16,0,0,0,0,0,0,0,0,156,0,0,0,0,0,15,17,0,0,88,1,0,0,6,0,0,0,0,0,7,76,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1121.86437988281,1057.61022949219,1051.025390625
"70",0,0,13,0,0,0,1,0,0,0,0,156,0,0,0,0,0,4,7,0,0,89,0,1,0,0,0,0,0,0,0,24,66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166.10168457031,1099.29235839844,1091.10595703125
"74.5",0,0,2,0,0,0,0,0,0,0,0,125,0,0,0,0,0,2,8,0,1,150,0,0,0,1,0,0,0,0,0,52,50,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210.33898925781,1140.974609375,1131.18640136719
"82",0,5,90,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,18,0,10,12,0,0,0,2,0,0,0,2,0,1,45,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,37,2,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,2,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0,0,2,0,0,7,0,1,0,0,0,0,0,0,1727.70495605469,1749.98364257812,1757.06555175781
"92",0,1,62,0,0,0,0,0,0,0,0,3,0,1,0,0,0,30,30,0,4,12,0,0,1,21,1,0,0,2,0,0,10,1,0,0,0,0,1,0,4,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,2,3,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,67,3,0,0,0,0,33,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,34,0,0,0,0,0,2,1,0,1,0,0,1,0,3,1,1,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,2632.623046875,2823.59008789062,2862.63940429688
