,Acacia,Acalypha,Acanthac,Adansoni,Afraegle,Afzelia.,Alchorne,Allophyl,Amaranth,Ampelida,Anacardi,Annonace,Antidesm,Umbellif,Apocynac,Araliace,Palmae,Artemisi,Composit,Balanite,Blephari,Blighia,Bombax,Boragina,Borreria,Boswelli,Brassica,Bridelia,Burkea.a,Butyrosp,Caesalpi,Capparid,Caryophy,Cassia,Celastra,Celtis,Centaure,Cf.Diali,Cf.Scrop,Chrozoph,Cissampe,Cissus,Clematis,Cochlosp,Cola.cf.,Combreta,Commelin,Commipho,Convolvu,Corchoru,Cordia,Crossopt,Croton,Cucumis,Cucurbit,Cussonia,Cyperace,Detarium,Diospyro,Dombeya.,Elaeis.g,Entada,Ephedra,Ericacea,Erythrin,Euphorbi,Papilion,Ficus,Grewia,Heliotro,Hygrophi,Hymenoca,Hyphaene,Indeterm,Indigofe,Ipomaea,Irvingia,Isoberli,Ixora,Justicia,Khaya,Kohautia,Lactucea,Lamiacea,Lannea.S,Liliacea,Lobelia,Lophira,Lythrace,Macarang,Maerua,Mallotus,Malvacea,Manilkar,Menisper,Mitracar,Mitragyn,Monocoty,Monotes.,Moraceae,Morelia.,Mussaend,Nauclea,Nymphaea,Olea.hoc,Parkia,Adenia,Paullini,Tacazzea,Phoenix.,Phyllant,Piliosti,Pinus,Graminea,Podocarp,Polycarp,Polygona,Polygonu,Prosopis,Pterocar,Pterido,Trilete,Raphia,Rhus,Adina,Rubiacea,Rutaceae,Salix.cf,Salvador,Sapindac,Securine,Solanum,Sterculi,Strychno,Syzygium,Talinum,Tapinant,Thunberg,Thymelea,Trema.gu,Typha,Uapaca,Indeterm.1,Urticace,Cleroden,Vernonia,Vitex,Ximenia.,Ziziphus,Chron1,Chron10,Chron20
2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,683,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,5,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,1,0,0,1,0,0,0,222.6000061,247.8518524,230.8333282
6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,0,0,297.2181702,313.3333435,299.5
12,1,0,1,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,1,62,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,0,0,0,0,1,0,0,0,409.1454468,411.555542,402.5
24,1,0,1,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,2,4,0,0,0,0,3,0,5,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,2,0,0,1,0,0,0,633,608,608.5
36,0,1,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,29,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,7,0,0,1,0,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,6,0,0,0,0,0,0,0,1,0,0,9,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,863,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,29,0,3,0,0,0,0,0,3,856.8545532,804.444458,814.5
45.5,2,0,0,0,0,0,2,0,24,1,0,0,0,0,0,0,0,0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,77,0,2,0,0,0,1,0,0,0,3,0,0,0,0,5,0,3,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,532,0,0,1,0,0,0,1,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,69,0,3,0,0,0,0,0,0,1034.072754,959.9629517,977.583313
55,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,3,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,0,0,1165.927002,1072.89856,1093.130493
64,0,0,0,0,0,0,2,0,21,2,0,0,1,0,0,0,0,0,16,3,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,536,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1217.167847,1124.420288,1140.67395
73.5,2,0,0,0,0,0,1,0,14,0,0,1,0,0,0,0,0,0,12,2,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,5,0,1,1,0,0,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,64,0,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,697,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1271.255493,1178.804321,1190.858643
83,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,4,0,1,1,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,72,0,1,0,1,1,0,0,0,2,5,0,0,0,0,3,0,8,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,1,1325.343018,1233.188354,1241.043457
90,0,2,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1365.197021,1273.260864,1278.021729
101.5,0,0,1,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,1,0,0,0,3,3,1,0,0,0,1,0,7,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1430.671509,1339.094238,1338.771729
110.5,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,74,0,2,0,1,1,0,0,0,1,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,668,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,5,0,4,0,0,0,0,0,0,1481.912354,1390.615967,1386.315186
120,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,10,0,1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,680,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3,0,3,0,0,0,0,0,0,1536,1445,1436.5
132.5,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,2,0,11,0,0,0,0,0,1,0,0,0,0,72,0,1,0,0,0,0,0,0,2,1,0,0,0,0,4,1,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,814,0,2,0,0,0,0,0,5,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,4,0,0,2,0,1,0,1587.415039,1500.817627,1493.182373
143,2,0,0,0,0,0,3,0,5,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,7,0,1,0,0,0,1,0,0,0,0,41,0,0,0,0,0,0,0,0,2,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,635,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1630.60376,1547.704346,1540.795654
153.5,1,1,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,1,0,0,0,6,1,0,0,0,0,3,2,7,0,0,0,1,0,0,0,2,0,1,12,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,732,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,1673.79248,1594.591187,1588.408813
164,0,0,1,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,6,0,0,0,0,4,1,2,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,793,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,1716.981079,1641.478027,1636.021973
175,1,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,1,0,0,0,0,0,32,1,0,0,0,0,0,0,0,4,1,1,0,0,0,7,1,3,0,0,0,4,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,3,0,0,0,0,1,0,1762.22644,1690.597534,1685.902466
185,1,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,46,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,1,3,0,0,0,0,0,0,1803.358521,1735.251587,1731.248413
196,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,2,0,1,0,1,2,0,12,0,0,0,0,0,1,0,0,0,0,82,0,0,0,0,0,0,0,1,2,4,1,0,0,0,0,1,5,0,0,0,0,0,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,4,0,0,0,0,1,0,1848.60376,1784.371094,1781.128906
206.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,826,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,4,2,0,0,0,0,0,1890.754395,1828.951782,1828.561401
217,0,1,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,0,3,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1932.385986,1872.379395,1875.903564
228,0,1,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,1,11,0,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,53,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,1976,1917.875,1925.5
241,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,2,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,44,0,1,0,2,0,0,0,0,1,6,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,1,0,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,2027.543823,1971.642578,1984.114014
252,0,2,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,6,0,0,0,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,3,2,0,0,0,0,2,0,1,1,1,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2071.157959,2017.138184,2033.710571
263,0,2,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6,0,1,0,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,1,29,0,1,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,686,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2114.771973,2062.633789,2083.307129
