,Acacia,Acalypha,Acanthac,Adansoni,Afraegle,Afzelia.,Alchorne,Allophyl,Amaranth,Ampelida,Anacardi,Annonace,Antidesm,Umbellif,Apocynac,Araliace,Palmae,Artemisi,Composit,Balanite,Blephari,Blighia,Bombax,Boragina,Borreria,Boswelli,Brassica,Bridelia,Burkea.a,Butyrosp,Caesalpi,Capparid,Caryophy,Cassia,Celastra,Celtis,Centaure,Cf.Diali,Cf.Scrop,Chrozoph,Cissampe,Cissus,Clematis,Cochlosp,Cola.cf.,Combreta,Commelin,Commipho,Convolvu,Corchoru,Cordia,Crossopt,Croton,Cucumis,Cucurbit,Cussonia,Cyperace,Detarium,Diospyro,Dombeya.,Elaeis.g,Entada,Ephedra,Ericacea,Erythrin,Euphorbi,Papilion,Ficus,Grewia,Heliotro,Hygrophi,Hymenoca,Hyphaene,Indeterm,Indigofe,Ipomaea,Irvingia,Isoberli,Ixora,Justicia,Khaya,Kohautia,Lactucea,Lamiacea,Lannea.S,Liliacea,Lobelia,Lophira,Lythrace,Macarang,Maerua,Mallotus,Malvacea,Manilkar,Menisper,Mitracar,Mitragyn,Monocoty,Monotes.,Moraceae,Morelia.,Mussaend,Nauclea,Nymphaea,Olea.hoc,Parkia,Adenia,Paullini,Tacazzea,Phoenix.,Phyllant,Piliosti,Pinus,Graminea,Podocarp,Polycarp,Polygona,Polygonu,Prosopis,Pterocar,Pterido,Trilete,Raphia,Rhus,Adina,Rubiacea,Rutaceae,Salix.cf,Salvador,Sapindac,Securine,Solanum,Sterculi,Strychno,Syzygium,Talinum,Tapinant,Thunberg,Thymelea,Trema.gu,Typha,Uapaca,Indeterm.1,Urticace,Cleroden,Vernonia,Vitex,Ximenia.,Ziziphus,Chron1,Chron10,Chron20
273.5,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,1,0,1,2,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,0,0,0,85,1,0,0,0,0,1,0,0,4,2,0,0,0,0,2,0,4,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,746,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,2156.403564,2106.061523,2130.64917
284.5,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0,0,0,0,0,1,0,0,9,0,2,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,2200.017578,2151.557129,2180.245605
295.5,1,2,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,8,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,2243.631592,2197.052734,2229.842041
306.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,7,0,0,0,0,0,1,0,0,0,0,48,0,1,0,0,0,0,0,0,2,1,3,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,1,0,0,2287.245605,2242.54834,2279.438477
317,0,3,0,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,8,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,2,0,0,0,1,42,1,0,0,0,0,0,0,0,1,3,3,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,3,0,4,3,0,0,0,0,0,2354.941162,2323.679688,2361.418213
328,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,38,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,786,0,0,0,2,0,0,1,1,0,0,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,1,3,1,0,0,0,0,0,2480.470703,2487.673096,2519.875732
338.5,0,6,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,15,0,0,0,1,0,3,0,0,1,0,2,0,0,0,0,0,6,0,1,3,0,0,4,0,0,0,20,0,0,0,0,0,2,0,0,0,0,77,1,2,0,1,0,0,0,0,0,2,6,0,0,0,3,0,3,1,0,0,1,0,0,1,0,0,1,12,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,552,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,1,1,0,0,0,0,0,0,2600.294189,2644.212402,2671.130615
347,0,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,1,1,1,3,2,0,0,0,0,0,10,0,1,4,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,1,52,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,6,0,0,0,2,1,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,7,0,6,0,0,0,0,0,0,2697.294189,2770.93457,2793.575195
360,1,8,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,13,0,0,5,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,56,0,0,0,1,0,0,0,0,0,1,7,1,0,0,1,0,7,0,0,0,2,0,0,2,0,0,1,7,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,678,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,1,0,1,0,1,0,2845.646973,2964.745117,2980.843018
369,0,5,2,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,1,0,1,0,0,3,0,8,0,1,3,0,0,0,1,0,0,23,0,0,0,0,0,2,0,0,0,0,62,0,3,0,0,0,0,0,0,2,4,8,0,0,0,2,0,6,5,0,0,1,1,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,561,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2948.353027,3098.921631,3110.490234
377,2,4,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,16,0,1,2,0,1,0,0,0,0,14,1,0,0,0,0,1,0,0,0,1,59,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,1,5,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0,660,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,3039.646973,3218.189453,3225.731934
390,2,8,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,1,3,0,0,0,6,0,25,0,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,5,0,0,0,5,0,0,2,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,0,2,1,1,0,0,1,0,1,0,0,0,728,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,2,2,1,5,0,0,0,0,0,0,3188,3412,3413
403,0,8,2,0,0,0,1,0,7,0,0,0,1,0,0,1,0,1,6,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,23,0,0,3,0,0,0,1,0,0,15,0,0,1,0,0,1,0,0,0,0,61,0,2,0,0,0,0,0,0,2,0,2,0,0,0,3,0,4,2,0,0,2,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,541,1,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,0,0,0,1,0,0,3366.829346,3641.561035,3665.49585
412,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,1,0,2,0,6,2,0,0,2,0,39,0,0,9,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,49,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,704,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,2,3,0,5,0,0,0,0,0,1,3490.634033,3800.487793,3840.300781
425,0,6,1,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,21,0,2,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,63,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,677,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,3669.463379,4030.048828,4092.796631
436,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,2,0,5,0,3,0,0,0,0,0,0,0,13,0,0,0,1,0,1,0,0,0,0,99,0,1,0,0,0,1,0,0,1,2,0,0,0,0,9,0,3,1,0,0,3,0,0,0,0,0,2,8,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,6,0,0,0,0,1,0,0,0,502,1,0,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,15,5,0,0,0,1,0,0,3820.780518,4224.29248,4306.447266
447.5,0,1,0,0,0,0,7,0,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,2,3,0,0,0,2,0,9,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,88,0,0,0,0,1,0,0,0,3,2,1,0,0,0,6,0,4,1,0,0,2,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0,0,0,2,6,2,0,0,0,1,0,0,0,0,655,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,3,19,8,0,0,0,0,0,0,3978.975586,4427.365723,4529.809082
459,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,1,0,0,0,3,0,0,18,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,0,4,1,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,682,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,49,4,0,0,0,0,0,0,4143.350098,4633.299805,4734.662598
470,0,4,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,2,2,0,0,0,1,0,0,18,0,0,0,0,0,1,0,0,0,1,70,0,2,0,0,0,0,0,0,1,2,0,0,0,0,6,0,4,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,1,0,0,0,501,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,58,4,0,0,0,0,0,0,4303.72998,4831.740234,4921.16748
481,0,3,0,0,0,0,8,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,3,3,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,60,1,3,0,0,0,0,0,0,1,3,0,0,0,0,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,630,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,64,4,0,0,0,0,0,0,4464.109863,5030.180176,5107.672363
492,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,9,1,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,84,1,3,0,0,0,0,0,0,1,3,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,3,0,0,0,0,0,0,597,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,96,3,0,0,0,0,0,0,4624.490234,5228.620117,5294.177734
504,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,71,0,0,0,0,0,0,0,0,0,3,2,0,0,0,7,0,5,1,0,1,1,1,0,0,0,0,0,5,0,0,1,0,1,0,2,0,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,430,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,87,3,0,0,0,0,0,0,4799.450195,5445.100098,5497.637695
515,0,2,0,0,0,0,4,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,3,0,1,0,0,0,0,7,1,0,2,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,72,1,5,0,0,0,0,0,0,2,2,2,0,0,0,7,0,10,1,0,0,0,2,0,2,0,0,0,4,1,0,0,0,0,0,6,0,0,0,0,1,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,0,611,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,137,4,1,0,0,0,0,0,4959.830078,5643.540039,5684.142578
525.5,0,1,0,0,1,1,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,94,0,1,0,0,0,0,0,0,2,2,1,0,0,0,8,0,6,0,0,0,0,3,0,0,0,0,0,3,3,0,1,0,0,0,1,0,0,1,0,0,1,3,0,0,0,2,0,4,0,3,0,0,1,0,0,0,551,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,155,3,0,0,0,0,0,0,5112.919922,5832.959961,5862.169922
535,0,3,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,1,69,0,1,0,0,0,0,0,0,0,2,3,0,0,0,9,0,3,0,0,1,0,4,0,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,2,0,1,0,481,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,188,5,0,0,0,0,0,1,5251.430176,6004.339844,6023.242676
545,0,3,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,1,2,0,0,0,0,7,0,0,2,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,0,0,84,0,2,0,0,0,0,1,0,0,2,1,0,0,0,13,0,7,0,0,0,0,7,0,1,0,0,1,1,1,0,4,0,0,0,5,0,0,0,0,0,0,1,0,1,0,1,0,7,0,3,0,1,0,0,0,0,555,0,0,0,0,0,1,5,6,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,210,12,0,0,0,0,0,0,5397.22998,6184.740234,6192.79248
555,1,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,1,0,8,0,0,1,0,0,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,58,0,1,0,0,0,0,0,0,0,3,1,0,1,0,16,0,8,0,0,0,0,5,0,0,0,0,1,2,1,1,2,0,1,0,6,0,0,0,0,0,1,0,1,1,0,2,0,4,0,1,0,0,0,0,0,0,570,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,157,23,0,0,0,0,0,0,5566.320313,6379.888672,6382.392578
567.5,0,3,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,1,1,5,2,0,0,0,10,0,2,0,0,0,0,1,0,2,0,0,0,4,1,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,3,0,1,2,0,0,0,0,0,445,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,169,0,1,0,0,0,0,0,5831.75,6658.0625,6665.9375
577,1,7,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,1,2,0,0,0,0,1,0,7,0,0,2,0,0,1,0,0,0,17,0,0,0,0,0,1,0,0,0,0,90,0,1,0,0,0,0,0,0,0,3,2,0,0,0,12,0,9,1,0,0,0,8,0,0,0,0,0,4,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,0,0,3,1,6,0,3,0,0,0,0,0,0,607,1,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,158,15,0,1,0,0,0,0,6033.476563,6869.474609,6881.431641
590,0,6,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,7,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,3,98,0,1,0,0,0,0,0,0,2,3,0,1,0,1,10,0,4,0,0,1,0,7,0,1,0,0,0,1,0,0,1,0,4,0,4,0,0,0,0,1,0,0,0,0,0,1,1,9,0,1,1,0,0,0,0,0,520,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,149,14,0,0,0,0,0,1,6309.523438,7158.775391,7176.318359
600,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,59,0,0,0,0,0,0,0,0,0,5,3,0,0,0,7,0,7,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,1,0,1,0,1,0,429,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,103,0,0,0,0,0,0,0,6521.867188,7381.314453,7403.154297
