,Acacia,Acalypha,Acanthac,Adansoni,Afraegle,Afzelia.,Alchorne,Allophyl,Amaranth,Ampelida,Anacardi,Annonace,Antidesm,Umbellif,Apocynac,Araliace,Palmae,Artemisi,Composit,Balanite,Blephari,Blighia,Bombax,Boragina,Borreria,Boswelli,Brassica,Bridelia,Burkea.a,Butyrosp,Caesalpi,Capparid,Caryophy,Cassia,Celastra,Celtis,Centaure,Cf.Diali,Cf.Scrop,Chrozoph,Cissampe,Cissus,Clematis,Cochlosp,Cola.cf.,Combreta,Commelin,Commipho,Convolvu,Corchoru,Cordia,Crossopt,Croton,Cucumis,Cucurbit,Cussonia,Cyperace,Detarium,Diospyro,Dombeya.,Elaeis.g,Entada,Ephedra,Ericacea,Erythrin,Euphorbi,Papilion,Ficus,Grewia,Heliotro,Hygrophi,Hymenoca,Hyphaene,Indeterm,Indigofe,Ipomaea,Irvingia,Isoberli,Ixora,Justicia,Khaya,Kohautia,Lactucea,Lamiacea,Lannea.S,Liliacea,Lobelia,Lophira,Lythrace,Macarang,Maerua,Mallotus,Malvacea,Manilkar,Menisper,Mitracar,Mitragyn,Monocoty,Monotes.,Moraceae,Morelia.,Mussaend,Nauclea,Nymphaea,Olea.hoc,Parkia,Adenia,Paullini,Tacazzea,Phoenix.,Phyllant,Piliosti,Pinus,Graminea,Podocarp,Polycarp,Polygona,Polygonu,Prosopis,Pterocar,Pterido,Trilete,Raphia,Rhus,Adina,Rubiacea,Rutaceae,Salix.cf,Salvador,Sapindac,Securine,Solanum,Sterculi,Strychno,Syzygium,Talinum,Tapinant,Thunberg,Thymelea,Trema.gu,Typha,Uapaca,Indeterm.1,Urticace,Cleroden,Vernonia,Vitex,Ximenia.,Ziziphus,Chron1,Chron10,Chron20
613,0,4,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,1,92,1,1,0,1,0,0,0,0,1,0,0,0,0,0,10,0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,3,0,0,0,4,0,0,0,1,0,1,0,1,0,0,1,0,3,0,1,0,0,0,0,0,0,660,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,125,4,0,0,0,0,1,0,6797.914063,7670.615234,7698.041016
622.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,89,2,2,0,1,0,0,0,0,1,0,0,0,0,0,11,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,622,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,99,3,0,0,0,0,0,0,6999.640625,7882.027344,7913.535156
635,0,3,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,8,2,1,0,0,1,0,2,0,0,1,0,0,0,1,0,0,17,0,0,0,0,0,1,0,0,1,5,63,1,0,0,0,0,0,0,0,2,3,0,2,0,0,13,0,5,0,0,0,0,7,0,1,1,0,0,5,0,0,0,0,1,0,6,0,0,2,0,0,0,1,1,0,0,1,1,8,0,1,1,0,0,0,0,0,510,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,2,143,11,0,0,0,0,1,0,7265.070313,8160.201172,8197.080078
645,0,0,0,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,1,0,0,0,0,8,68,1,0,0,0,0,0,0,0,0,2,3,0,0,0,12,0,4,0,0,1,0,2,0,0,0,0,1,1,0,0,2,0,1,0,10,0,0,0,0,0,1,0,0,0,0,2,0,5,0,2,2,0,0,0,0,0,607,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,182,1,0,0,0,0,0,0,7477.414063,8382.740234,8423.916016
654.5,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,11,0,0,0,8,0,1,0,0,0,0,7,0,1,1,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,7,74,1,2,0,1,0,0,0,0,0,2,0,0,0,0,12,0,2,0,0,0,0,3,0,1,0,0,1,2,0,0,0,0,5,0,3,0,0,1,0,0,1,0,0,0,0,1,0,10,0,5,0,0,1,0,0,0,459,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,121,0,1,0,0,0,0,0,7679.140625,8594.152344,8639.410156
661,0,0,0,0,0,0,14,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,5,65,0,1,0,0,0,0,0,0,3,5,5,0,0,0,6,0,5,0,0,0,0,1,0,6,0,0,1,2,0,0,0,0,5,0,3,0,0,0,0,0,1,0,0,1,0,0,0,6,0,3,0,0,0,0,0,0,427,0,0,0,0,0,0,11,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,102,1,0,0,0,0,0,0,7817.164063,8738.802734,8786.853516
670,0,4,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,9,0,1,0,0,1,1,8,0,0,0,0,0,0,1,0,1,17,0,0,0,0,0,1,0,0,0,2,53,0,3,0,0,0,0,0,0,1,2,2,1,0,0,6,0,7,1,0,0,0,10,0,4,0,0,0,1,0,0,0,0,7,0,4,0,0,0,1,0,0,0,0,0,0,1,1,11,0,9,6,0,1,1,0,0,477,0,1,0,0,0,1,5,3,2,0,2,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,166,2,0,0,0,0,0,0,8008.273438,8939.087891,8991.005859
676.5,0,0,0,0,0,0,5,0,2,0,0,0,1,0,1,0,2,0,9,0,0,0,0,0,4,0,0,1,16,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,3,0,0,0,11,43,3,4,0,0,0,0,0,0,0,1,5,0,0,0,11,0,7,0,0,1,0,16,2,1,0,0,1,11,0,0,0,0,2,0,3,0,0,1,0,1,0,0,0,0,0,1,0,16,0,3,0,0,2,0,0,0,560,0,1,0,0,0,0,14,5,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,120,5,0,0,1,0,0,0,8146.296875,9083.738281,9138.449219
686,0,2,0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,14,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,16,1,0,0,0,0,0,0,0,0,20,50,1,4,0,0,0,0,0,0,2,2,2,0,0,0,3,1,6,0,0,0,0,7,0,1,0,0,0,0,0,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,33,0,8,0,0,3,0,0,0,467,0,2,0,0,0,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,117,6,0,0,0,0,0,0,8292.076172,9255.078125,9306.038086
692.5,0,0,0,0,0,0,16,0,2,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,4,70,0,7,0,0,0,0,0,0,0,2,11,0,0,0,9,0,6,2,0,0,0,10,0,0,0,0,2,4,0,0,0,0,2,0,5,1,0,2,0,0,0,0,2,1,0,0,1,41,0,3,0,0,1,0,0,0,422,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,118,3,0,0,0,0,0,0,8374.152344,9359.657227,9405.576172
702,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,8,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,5,68,0,5,0,0,0,0,0,0,0,2,3,0,0,0,1,0,2,0,0,0,0,9,0,0,0,0,2,2,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,1,1,0,65,0,8,0,0,2,0,0,0,587,0,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,110,6,0,0,0,0,0,0,8494.110352,9512.501953,9551.054688
715,0,0,1,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,6,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,12,1,0,0,0,0,1,0,0,0,4,71,0,0,1,0,0,0,0,0,1,6,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,44,0,6,0,0,2,0,0,0,420,0,0,0,0,0,0,16,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,1,84,0,0,0,0,0,0,0,8658.262695,9721.65918,9750.131836
725,0,0,0,0,0,0,12,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,17,0,0,0,1,0,1,0,0,0,1,83,0,4,0,3,0,0,0,0,2,1,3,0,0,0,0,0,3,0,0,1,0,2,0,1,0,0,0,3,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,92,0,3,0,0,4,0,0,0,405,0,1,0,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,104,8,0,0,0,0,0,0,8784.53418,9882.548828,9903.266602
734.5,0,0,0,0,0,0,13,0,2,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,1,2,0,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,30,0,0,0,0,0,8,0,0,0,1,75,1,4,2,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,0,10,1,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,68,0,12,0,0,20,0,0,0,495,0,0,0,0,0,0,12,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,3,63,7,0,0,0,0,0,0,8904.491211,10035.39453,10048.74609
744,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,2,0,1,0,0,2,0,2,0,0,0,0,0,0,1,0,5,28,0,0,0,0,0,2,0,0,0,4,67,0,4,1,1,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,99,0,6,0,0,7,0,0,0,527,0,0,0,0,0,0,14,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,1,46,5,0,0,0,0,0,0,9024.449219,10188.23926,10194.22461
754,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,0,73,0,1,0,1,0,0,0,0,0,6,3,1,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,1,0,112,0,2,1,0,5,0,1,0,478,0,0,0,0,0,0,14,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,17,1,0,0,0,0,0,0,9150.720703,10349.12891,10347.36035
763,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,4,0,0,0,1,95,0,2,0,0,0,0,0,0,0,3,4,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,2,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,121,0,4,0,0,2,0,1,0,596,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,3,0,0,0,0,0,0,9264.364258,10493.92969,10485.18262
773,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,3,0,0,0,0,1,0,2,0,0,3,0,0,0,0,0,1,7,0,0,0,0,0,1,0,0,0,8,94,0,0,0,0,0,0,0,0,4,2,3,0,0,1,0,0,3,0,0,0,0,3,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,4,0,108,0,5,1,0,0,0,0,0,577,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,10,3,0,0,0,0,0,0,9390.635742,10654.82031,10638.31738
782.5,0,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,4,96,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,95,0,6,0,0,0,0,1,0,560,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,4,1,0,0,0,0,0,0,9510.592773,10807.66504,10783.79688
792,0,0,0,0,0,0,4,1,7,1,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,16,1,0,0,0,0,1,0,0,0,8,97,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,4,0,0,0,0,0,0,510,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,6,1,0,0,0,0,0,0,9630.550781,10960.51074,10929.27539
799,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,4,103,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,3,0,0,0,0,0,0,627,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,19,5,1,0,0,0,0,0,0,9751,11138.65723,11106.88574
811,0,0,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,1,109,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,640,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,2,2,0,0,0,0,0,0,10159,11855.91406,11853.97168
823.5,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,50,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,4,0,0,0,0,1,0,745,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10389.12793,12200.59375,12210.30566
833,0,0,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,112,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,613,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,3,0,0,0,0,0,0,0,10494.3291,12318.61035,12330.23535
842.5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10599.53027,12436.62793,12450.16406
852.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,10710.26855,12560.85547,12576.40625
862,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10815.46973,12678.87207,12696.33594
872,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,843,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10926.20801,12803.10059,12822.57715
876.5,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,461,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10976.04004,12859.00293,12879.38574
886,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,463,1,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,11081.24121,12977.02051,12999.31543
893,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,1,0,0,0,0,0,6,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11158.75879,13063.97949,13087.68457